event,gender,time_distance,athlete,location,date,,,,,,,,,
triple jump,M,16.12 m (52 ft 10+1⁄2 in),Adhemar da Silva (BRA),"Helsinki, Finland[1]",23 July 1952,,,,,,,,,
triple jump,M,16.22 m (53 ft 2+1⁄2 in),Adhemar da Silva (BRA),"Helsinki, Finland[1]",23 July 1952,,,,,,,,,
triple jump,M,16.23 m (53 ft 2+3⁄4 in),Leonid Shcherbakov (URS),"Moscow, Soviet Union[1]",19 July 1953,,,,,,,,,
triple jump,M,16.56 m (54 ft 3+3⁄4 in) A,Adhemar da Silva (BRA),"Mexico City, Mexico[1]",16 March 1955,,,,,,,,,
triple jump,M,16.59 m (54 ft 5 in),Oleg Ryakhovskiy (URS),"Moscow, Soviet Union[1]",28 July 1958,,,,,,,,,
triple jump,M,16.70 m (54 ft 9+1⁄4 in),Oleg Fyodoseyev (URS),"Nalchik, Soviet Union[1]",3 May 1959,,,,,,,,,
triple jump,M,17.03 m (55 ft 10+1⁄4 in),Józef Szmidt (POL),"Olsztyn, Poland[1]",5 August 1960,,,,,,,,,
triple jump,M,17.10 m (56 ft 1 in) A,Giuseppe Gentile (ITA),"Mexico City, Mexico[1]",16 October 1968,,,,,,,,,
triple jump,M,17.22 m (56 ft 5+3⁄4 in) A,Giuseppe Gentile (ITA),"Mexico City, Mexico[1]",17 October 1968,,,,,,,,,
triple jump,M,17.23 m (56 ft 6+1⁄4 in) A,Viktor Sanyeyev (URS),"Mexico City, Mexico[1]",17 October 1968,,,,,,,,,
triple jump,M,17.27 m (56 ft 7+3⁄4 in) A,Nelson Prudêncio (BRA),"Mexico City, Mexico[1]",17 October 1968,,,,,,,,,
triple jump,M,17.39 m (57 ft 1⁄2 in) A,Viktor Sanyeyev (URS),"Mexico City, Mexico[1]",17 October 1968,,,,,,,,,
triple jump,M,17.40 m (57 ft 1 in) A,Pedro Pérez (CUB),"Cali, Colombia[1]",5 August 1971,,,,,,,,,
triple jump,M,17.44 m (57 ft 2+1⁄2 in),Viktor Sanyeyev (URS),"Sukhumi, Soviet Union[1]",17 October 1972,,,,,,,,,
triple jump,M,17.89 m (58 ft 8+1⁄4 in) A,João Carlos de Oliveira (BRA),"Mexico City, Mexico[1]",15 October 1975,,,,,,,,,
triple jump,M,17.97 m (58 ft 11+1⁄4 in),Willie Banks (USA),"Indianapolis, U.S.[1]",16 June 1985,,,,,,,,,
triple jump,M,17.98 m (58 ft 11+3⁄4 in),Jonathan Edwards (GBR),"Salamanca, Spain[1]",18 July 1995,,,,,,,,,
triple jump,M,18.16 m (59 ft 6+3⁄4 in),Jonathan Edwards (GBR),"Gothenburg, Sweden[1]",7 August 1995,,,,,,,,,
triple jump,M,18.29 m (60 ft 0 in),Jonathan Edwards (GBR),"Gothenburg, Sweden[1]",7 August 1995,,,,,,,,,
shot put,M,15.54 m,Ralph Rose (USA),"San Francisco, U.S.[1]",21 August 1909,,,,,,,,,
shot put,M,15.79 m,Emil Hirschfeld (GER),"Breslau, Germany[1]",6 May 1928,,,,,,,,,
shot put,M,15.87 m,John Kuck (USA),"Amsterdam, Netherlands[1]",29 June 1928,,,,,,,,,
shot put,M,16.04 m,Emil Hirschfeld (GER),"Bochum, Germany[1]",26 August 1928,,,,,,,,,
shot put,M,16.04 m,František Douda (TCH),"Brno, Czechoslovakia[1]",4 October 1931,,,,,,,,,
shot put,M,16.05 m,Zygmunt Heljasz (POL),"Poznań, Poland[1]",29 June 1932,,,,,,,,,
shot put,M,16.16 m,Leo Sexton (USA),"Freeport, U.S.[1]",27 August 1932,,,,,,,,,
shot put,M,16.20 m,František Douda (TCH),"Prague, Czechoslovakia[1]",24 September 1932,,,,,,,,,
shot put,M,16.48 m,John Lyman (USA),"Palo Alto, U.S.[1]",21 April 1934,,,,,,,,,
shot put,M,16.80 m,Jack Torrance (USA),"Des Moines, U.S.[1]",27 April 1934,,,,,,,,,
shot put,M,16.89 m,Jack Torrance (USA),"Milwaukee, U.S.[1]",30 June 1934,,,,,,,,,
shot put,M,17.40 m,Jack Torrance (USA),"Oslo, Norway[1]",5 August 1934,,,,,,,,,
shot put,M,17.68 m,Charlie Fonville (USA),"Lawrence, U.S.[1]",17 April 1948,,,,,,,,,
shot put,M,17.79 m,Jim Fuchs (USA),"Oslo, Norway[1]",28 July 1949,,,,,,,,,
shot put,M,17.82 m,Jim Fuchs (USA),"Los Angeles, U.S.[1]",29 April 1950,,,,,,,,,
shot put,M,17.90 m,Jim Fuchs (USA),"Visby, Sweden[1]",20 August 1950,,,,,,,,,
shot put,M,17.95 m,Jim Fuchs (USA),"Eskilstuna, Sweden[1]",22 August 1950,,,,,,,,,
shot put,M,18.00 m,Parry O'Brien (USA),"Fresno, U.S.[1]",9 May 1953,,,,,,,,,
shot put,M,18.04 m,Parry O'Brien (USA),"Compton, U.S.[1]",5 June 1953,,,,,,,,,
shot put,M,18.42 m,Parry O'Brien (USA),"Los Angeles, U.S.[1]",8 May 1954,,,,,,,,,
shot put,M,18.43 m,Parry O'Brien (USA),"Los Angeles, U.S.[1]",21 May 1954,,,,,,,,,
shot put,M,18.54 m,Parry O'Brien (USA),"Los Angeles, U.S.[1]",11 June 1954,,,,,,,,,
shot put,M,18.62 m,Parry O'Brien (USA),"Salt Lake City, U.S.[1]",5 May 1956,,,,,,,,,
shot put,M,18.69 m,Parry O'Brien (USA),"Los Angeles, U.S.[1]",15 June 1956,,,,,,,,,
shot put,M,19.06 m,Parry O'Brien (USA),"Eugene, U.S.[1]",3 September 1956,,,,,,,,,
shot put,M,19.25 m,Parry O'Brien (USA),"Los Angeles, U.S.[1]",1 November 1956,,,,,,,,,
shot put,M,19.25 m,Dallas Long (USA),"Santa Barbara, U.S.[1]",28 March 1959,,,,,,,,,
shot put,M,19.30 m,Parry O'Brien (USA),"Albuquerque, U.S.[1]",1 August 1959,,,,,,,,,
shot put,M,19.38 m,Dallas Long (USA),"Los Angeles, U.S.[1]",5 March 1960,,,,,,,,,
shot put,M,19.45 m,Bill Nieder (USA),"Palo Alto, U.S.[1]",19 March 1960,,,,,,,,,
shot put,M,19.67 m,Dallas Long (USA),"Los Angeles, U.S.[1]",26 March 1960,,,,,,,,,
shot put,M,19.99 m,Bill Nieder (USA),"Austin, U.S.[1]",2 April 1960,,,,,,,,,
shot put,M,20.06 m,Bill Nieder (USA),"Walnut, U.S.[1]",12 August 1960,,,,,,,,,
shot put,M,20.08 m,Dallas Long (USA),"Los Angeles, U.S.[1]",18 May 1962,,,,,,,,,
shot put,M,20.10 m,Dallas Long (USA),"Los Angeles, U.S.[1]",4 April 1964,,,,,,,,,
shot put,M,20.20 m,Dallas Long (USA),"Los Angeles, U.S.[1]",29 May 1964,,,,,,,,,
shot put,M,20.68 m,Dallas Long (USA),"Los Angeles, U.S.[1]",25 July 1964,,,,,,,,,
shot put,M,21.52 m,Randy Matson (USA),"College Station, U.S.[1]",8 May 1965,,,,,,,,,
shot put,M,21.78 m,Randy Matson (USA),College Station[1],23 April 1967,,,,,,,,,
shot put,M,21.82 m,Al Feuerbach (USA),"San Jose, U.S.[1]",5 May 1973,,,,,,,,,
shot put,M,22.86 m,Brian Oldfield (USA),"El Paso, United States",10 May 1975,,,,,,,,,
shot put,M,21.85 m,Terry Albritton (USA),"Honolulu, Hawaii, U.S.[1]",21 February 1976,,,,,,,,,
shot put,M,22.00 m,Aleksandr Baryshnikov (URS),"Paris, France[1]",10 June 1976,,,,,,,,,
shot put,M,22.15 m,Udo Beyer (GDR),"Gothenburg, Sweden[1]",6 July 1978,,,,,,,,,
shot put,M,22.22 m,Udo Beyer (GDR),"Los Angeles, U.S.[1]",25 June 1983,,,,,,,,,
shot put,M,22.62 m,Ulf Timmermann (GDR),"Berlin, Germany[1]",22 September 1985,,,,,,,,,
shot put,M,22.64 m,Udo Beyer (GDR),"Berlin, Germany[1]",20 August 1986,,,,,,,,,
shot put,M,22.72 m,Alessandro Andrei (ITA),"Viareggio, Italy[1]",12 August 1987,,,,,,,,,
shot put,M,22.84 m,Alessandro Andrei (ITA),"Viareggio, Italy[1]",12 August 1987,,,,,,,,,
shot put,M,22.91 m,Alessandro Andrei (ITA),"Viareggio, Italy[1]",12 August 1987,,,,,,,,,
shot put,M,23.06 m,Ulf Timmermann (GDR),"Chania, Greece[1]",22 May 1988,,,,,,,,,
shot put,M,23.12 m,Randy Barnes (USA),"Los Angeles, U.S.[1]",20 May 1990,,,,,,,,,
shot put,M,23.37 m,Ryan Crouser (USA),"Eugene, U.S.[2]",18 June 2021,,,,,,,,,
shot put,M,23.56 m,Ryan Crouser (USA),"Westwood, U.S.[3]",27 May 2023,,,,,,,,,
discus,M,47.58 m (156 ft 1 in),James Duncan (USA),New York City,27 May 1912,,,,,,,,,
discus,M,47.61 m (156 ft 2+1⁄4 in),Thomas Lieb (USA),Chicago,14 September 1924,,,,,,,,,
discus,M,47.89 m (157 ft 1+1⁄4 in),Glenn Hartranft (USA),San Francisco,2 May 1925,,,,,,,,,
discus,M,48.20 m (158 ft 1+1⁄2 in),Bud Houser (USA),Palo Alto,3 April 1926,,,,,,,,,
discus,M,49.90 m (163 ft 8+1⁄2 in),Eric Krenz (USA),Palo Alto,9 April 1929,,,,,,,,,
discus,M,51.03 m (167 ft 5 in),Eric Krenz (USA),Palo Alto,17 May 1930,,,,,,,,,
discus,M,51.73 m (169 ft 8+1⁄2 in),Paul Jessup (USA),Pittsburgh,23 August 1930,,,,,,,,,
discus,M,52.42 m (171 ft 11+3⁄4 in),Harald Andersson (SWE),Oslo,25 August 1934,,,,,,,,,
discus,M,53.10 m (174 ft 2+1⁄2 in),Willy Schröder (GER),Magdeburg,28 April 1935,,,,,,,,,
discus,M,53.26 m (174 ft 8+3⁄4 in),Archie Harris (USA),Palo Alto,20 June 1941,,,,,,,,,
discus,M,53.34 m (175 ft 0 in),Adolfo Consolini (ITA),Milan,26 October 1941,,,,,,,,,
discus,M,54.23 m (177 ft 11 in),Adolfo Consolini (ITA),Milan,14 April 1946,,,,,,,,,
discus,M,54.93 m (180 ft 2+1⁄2 in),Bob Fitch (USA),Minneapolis,8 June 1946,,,,,,,,,
discus,M,55.33 m (181 ft 6+1⁄4 in),Adolfo Consolini (ITA),Milan,10 October 1948,,,,,,,,,
discus,M,56.46 m (185 ft 2+3⁄4 in),Fortune Gordien (USA),Lisbon,9 July 1949,,,,,,,,,
discus,M,56.97 m (186 ft 10+3⁄4 in),Fortune Gordien (USA),Hämeenlinna,14 August 1949,,,,,,,,,
discus,M,57.93 m (190 ft 1⁄2 in),Sim Iness (USA),Lincoln,20 June 1953,,,,,,,,,
discus,M,58.10 m (190 ft 7+1⁄4 in),Fortune Gordien (USA),Pasadena,11 July 1953,,,,,,,,,
discus,M,59.28 m (194 ft 5+3⁄4 in),Fortune Gordien (USA),Pasadena,22 August 1953,,,,,,,,,
discus,M,59.91 m (196 ft 6+1⁄2 in),Edmund Piątkowski (POL),Warsaw,14 June 1959,,,,,,,,,
discus,M,59.91 m (196 ft 6+1⁄2 in),Rink Babka (USA),Walnut,12 August 1960,,,,,,,,,
discus,M,60.56 m (198 ft 8+1⁄4 in),Jay Silvester (USA),"Frankfurt, West Germany",11 August 1961,,,,,,,,,
discus,M,60.72 m (199 ft 2+1⁄2 in),Jay Silvester (USA),"Brussels, Belgium",20 August 1961,,,,,,,,,
discus,M,61.10 m (200 ft 5+1⁄2 in),Al Oerter (USA),Los Angeles,18 May 1962,,,,,,,,,
discus,M,61.64 m (202 ft 2+3⁄4 in),Vladimir Trusenyev (USSR),"Leningrad, USSR[2]",4 June 1962,,,,,,,,,
discus,M,62.45 m (204 ft 10+1⁄2 in),Al Oerter (USA),Chicago,1 July 1962,,,,,,,,,
discus,M,62.62 m (205 ft 5+1⁄4 in),Al Oerter (USA),Walnut,27 April 1963,,,,,,,,,
discus,M,62.94 m (206 ft 5+3⁄4 in),Al Oerter (USA),Walnut,25 April 1964,,,,,,,,,
discus,M,64.55 m (211 ft 9+1⁄4 in),Ludvik Danek (TCH),"Turnov, Czechoslovakia",2 August 1964,,,,,,,,,
discus,M,65.22 m (213 ft 11+1⁄2 in),Ludvik Danek (TCH),"Sokolov, Czechoslovakia",12 October 1965,,,,,,,,,
discus,M,66.54 m (218 ft 3+1⁄2 in),Jay Silvester (USA),Modesto,25 May 1968,,,,,,,,,
discus,M,68.40 m (224 ft 4+3⁄4 in) A,Jay Silvester (USA),Reno,18 September 1968,,,,,,,,,
discus,M,68.40 m (224 ft 4+3⁄4 in),Ricky Bruch (SWE),Stockholm,5 July 1972,,,,,,,,,
discus,M,68.48 m (224 ft 8 in),John van Reenen (RSA),Stellenbosch,14 March 1975,,,,,,,,,
discus,M,69.08 m (226 ft 7+1⁄2 in),John Powell (USA),Long Beach,3 May 1975,,,,,,,,,
discus,M,69.18 m (226 ft 11+1⁄2 in),Mac Wilkins (USA),Walnut,24 April 1976,,,,,,,,,
discus,M,69.80 m (229 ft 0 in),Mac Wilkins (USA),San Jose,1 May 1976,,,,,,,,,
discus,M,70.24 m (230 ft 5+1⁄4 in),Mac Wilkins (USA),San Jose,1 May 1976,,,,,,,,,
discus,M,70.86 m (232 ft 5+3⁄4 in),Mac Wilkins (USA),San Jose,1 May 1976,,,,,,,,,
discus,M,71.16 m (233 ft 5+1⁄2 in),Wolfgang Schmidt (GDR),Berlin,9 August 1978,,,,,,,,,
discus,M,71.86 m (235 ft 9 in),Yuriy Dumchev (USSR),Moscow,29 May 1983,,,,,,,,,
discus,M,74.08 m (243 ft 1⁄2 in),Jürgen Schult (GDR),"Neubrandenburg, East Germany",6 June 1986,,,,,,,,,
discus,M,74.35 m (243 ft 11 in),Mykolas Alekna (LTU),Ramona,14 April 2024,,,,,,,,,
hammer,M,57.77 m (189 ft 6 in),Pat Ryan,"New York City, United States","August 17, 1913",,,,,,,,,
hammer,M,59.00 m (193 ft 6 in),Erwin Blask,"Stockholm, Sweden","August 27, 1938",,,,,,,,,
hammer,M,59.02 m (193 ft 7 in),Imre Németh,"Tata, Hungary","July 14, 1948",,,,,,,,,
hammer,M,59.57 m (195 ft 5 in),Imre Németh,"Katowice, Poland","September 4, 1949",,,,,,,,,
hammer,M,59.88 m (196 ft 5 in),Imre Németh,"Budapest, Hungary","May 19, 1950",,,,,,,,,
hammer,M,60.34 m (197 ft 11 in),József Csermák,"Helsinki, Finland","July 24, 1952",,,,,,,,,
hammer,M,61.25 m (200 ft 11 in),Sverre Strandli,"Oslo, Norway","September 14, 1952",,,,,,,,,
hammer,M,62.36 m (204 ft 7 in),Sverre Strandli,"Oslo, Norway","September 5, 1953",,,,,,,,,
hammer,M,63.34 m (207 ft 9 in),Mikhail Krivonosov,"Bern, Switzerland","August 29, 1954",,,,,,,,,
hammer,M,64.05 m (210 ft 1 in),Stanislav Nenashev,"Baku, Soviet Union","December 12, 1954",,,,,,,,,
hammer,M,64.33 m (211 ft 0 in),Mikhail Krivonosov,"Warsaw, Poland","August 4, 1955",,,,,,,,,
hammer,M,64.52 m (211 ft 8 in),Mikhail Krivonosov,"Belgrade, SFR Yugoslavia","September 19, 1955",,,,,,,,,
hammer,M,65.85 m (216 ft 0 in),Mikhail Krivonosov,"Nalchik, Soviet Union","April 25, 1956",,,,,,,,,
hammer,M,66.38 m (217 ft 9 in),Mikhail Krivonosov,"Minsk, Soviet Union","July 8, 1956",,,,,,,,,
hammer,M,67.32 m (220 ft 10 in),Mikhail Krivonosov,"Tashkent, Soviet Union","October 22, 1956",,,,,,,,,
hammer,M,68.54 m (224 ft 10 in),Hal Connolly,"Los Angeles, United States","November 2, 1956",,,,,,,,,
hammer,M,68.68 m (225 ft 3 in),Hal Connolly,"Bakersfield, United States","June 20, 1958",,,,,,,,,
hammer,M,70.33 m (230 ft 8 in),Hal Connolly,"Walnut, United States","August 12, 1960",,,,,,,,,
hammer,M,70.67 m (231 ft 10 in),Hal Connolly,"Palo Alto, United States","July 21, 1962",,,,,,,,,
hammer,M,71.06 m (233 ft 1 in),Hal Connolly,"Ceres, United States","May 29, 1965",,,,,,,,,
hammer,M,71.26 m (233 ft 9 in),Hal Connolly,"Walnut, United States","June 20, 1965",,,,,,,,,
hammer,M,73.74 m (241 ft 11 in),Gyula Zsivótzky,"Debrecen, Hungary","September 4, 1965",,,,,,,,,
hammer,M,73.76 m (241 ft 11 in),Gyula Zsivótzky,"Budapest, Hungary","September 14, 1968",,,,,,,,,
hammer,M,74.52 m (244 ft 5 in),Romuald Klim,"Budapest, Hungary","June 15, 1969",,,,,,,,,
hammer,M,74.68 m (245 ft 0 in),Anatoliy Bondarchuk,"Piraeus, Greece","September 20, 1969",,,,,,,,,
hammer,M,75.48 m (247 ft 7 in),Anatoliy Bondarchuk,"Rovno, Soviet Union","October 12, 1969",,,,,,,,,
hammer,M,76.40 m (250 ft 7 in),Walter Schmidt,"Lahr, West Germany","September 4, 1971",,,,,,,,,
hammer,M,76.60 m (251 ft 3 in),Reinhard Theimer,"Erfurt, East Germany","July 4, 1974",,,,,,,,,
hammer,M,76.66 m (251 ft 6 in),Aleksei Spiridonov,"Munich, West Germany","September 11, 1974",,,,,,,,,
hammer,M,76.70 m (251 ft 7 in),Karl-Hans Riehm,"Rehlingen, West Germany","May 19, 1975",,,,,,,,,
hammer,M,77.56 m (254 ft 5 in),Karl-Hans Riehm,"Rehlingen, West Germany","May 19, 1975",,,,,,,,,
hammer,M,78.50 m (257 ft 6 in),Karl-Hans Riehm,"Rehlingen, West Germany","May 19, 1975",,,,,,,,,
hammer,M,79.30 m (260 ft 2 in),Walter Schmidt,"Frankfurt, West Germany","August 14, 1975",,,,,,,,,
hammer,M,80.14 m (262 ft 11 in),Boris Zaichuk,"Moscow, Soviet Union","July 9, 1978",,,,,,,,,
hammer,M,80.32 m (263 ft 6 in),Karl-Hans Riehm,"Heidenheim, West Germany","August 6, 1978",,,,,,,,,
hammer,M,80.38 m (263 ft 8 in),Yuriy Sedykh,"Leselidse, Soviet Union","May 16, 1980",,,,,,,,,
hammer,M,80.46 m (263 ft 11 in),Jüri Tamm,"Leselidse, Soviet Union","May 16, 1980",,,,,,,,,
hammer,M,80.64 m (264 ft 6 in),Yuriy Sedykh,"Leselidse, Soviet Union","May 16, 1980",,,,,,,,,
hammer,M,81.66 m (267 ft 10 in),Sergey Litvinov,"Sochi, Soviet Union","May 24, 1980",,,,,,,,,
hammer,M,81.80 m (268 ft 4 in),Yuriy Sedykh,"Moscow, Soviet Union","July 31, 1980",,,,,,,,,
hammer,M,83.98 m (275 ft 6 in),Sergey Litvinov,"Moscow, Soviet Union","June 4, 1982",,,,,,,,,
hammer,M,84.14 m (276 ft 0 in),Sergey Litvinov,"Moscow, Soviet Union","June 21, 1983",,,,,,,,,
hammer,M,86.34 m (283 ft 3 in),Yuriy Sedykh,"Cork, Ireland","July 3, 1984",,,,,,,,,
hammer,M,86.66 m (284 ft 3 in),Yuriy Sedykh,"Tallinn, Soviet Union","June 22, 1986",,,,,,,,,
hammer,M,86.74 m (284 ft 6 in),Yuriy Sedykh,"Stuttgart, West Germany","August 30, 1986",,,,,,,,,
javelin (current model),M,89.58,Steve Backley (GBR),"Stockholm, Sweden[1]",2 July 1990,,,,,,,,,
javelin (current model),M,91.46,Steve Backley (GBR),"North Shore City, New Zealand[1]",25 January 1992,,,,,,,,,
javelin (current model),M,95.54,Jan Železný (CZE),"Pietersburg, South Africa[1]",6 April 1993,,,,,,,,,
javelin (current model),M,95.66,Jan Železný (CZE),"Sheffield, United Kingdom[1]",29 August 1993,,,,,,,,,
javelin (current model),M,98.48,Jan Železný (CZE),"Jena, Germany[1]",25 May 1996,,,,,,,,,
decathlon,M,"6,087",Aleksander Klumberg,Helsinki,1922-09-22,,,,,,,,,
decathlon,M,"6,476",Harold Osborn,Paris,1924-07-12,,,,,,,,,
decathlon,M,"6,460",Paavo Yrjölä,Viipuri,1926-07-18,,,,,,,,,
decathlon,M,"6,566",Paavo Yrjölä,Helsinki,1927-07-17,,,,,,,,,
decathlon,M,"6,587",Paavo Yrjölä,Amsterdam,1928-08-04,,,,,,,,,
decathlon,M,"6,865",Akilles Järvinen,Viipuri,1930-07-20,,,,,,,,,
decathlon,M,"6,736",James Bausch,Los Angeles,1932-08-06,,,,,,,,,
decathlon,M,"7,147",Hans-Heinrich Sievert,Hamburg,1934-07-08,,,,,,,,,
decathlon,M,"7,254",Glenn Morris,Berlin,1936-08-08,,,,,,,,,
decathlon,M,"7,287",Bob Mathias,Tulare,1950-06-30,,,,,,,,,
decathlon,M,"7,592",Bob Mathias,Helsinki,1952-07-26,,,,,,,,,
decathlon,M,"7,608",Rafer Johnson,Kingsburg,1955-06-11,,,,,,,,,
decathlon,M,"7,653",Vasili Kuznetsov,Krasnodar,1958-05-18,,,,,,,,,
decathlon,M,"7,989",Rafer Johnson,Moscow,1958-07-28,,,,,,,,,
decathlon,M,"7,839",Vasili Kuznetsov,Moscow,1959-05-17,,,,,,,,,
decathlon,M,"7,981",Rafer Johnson,Eugene,1960-07-09,,,,,,,,,
decathlon,M,"8,010",Yang Chuan-kwang,Walnut,1963-04-28,,,,,,,,,
decathlon,M,"8,120",Russ Hodge,Los Angeles,1966-07-24,,,,,,,,,
decathlon,M,"8,235",Kurt Bendlin,Heidelberg,1967-05-14,,,,,,,,,
decathlon,M,"8,310",Bill Toomey,Los Angeles,1969-12-11,,,,,,,,,
decathlon,M,"8,466",Mykola Avilov,Munich,1972-09-08,,,,,,,,,
decathlon,M,"8,420",Bruce Jenner,Eugene,1975-08-10,,,,,,,,,
decathlon,M,"8,454",Bruce Jenner,Eugene,1976-06-26,,,,,,,,,
decathlon,M,"8,634",Bruce Jenner,Montreal,1976-07-30,,,,,,,,,
decathlon,M,"8,648",Daley Thompson,Götzis,1980-05-15,,,,,,,,,
decathlon,M,"8,667",Guido Kratschmer,Filderstadt-Bernhausen,1980-06-14,,,,,,,,,
decathlon,M,"8,730",Daley Thompson,Götzis,1982-05-23,,,,,,,,,
decathlon,M,"8,741",Jürgen Hingsen,Ulm,1982-08-15,,,,,,,,,
decathlon,M,"8,774",Daley Thompson,Athens,1982-09-08,,,,,,,,,
decathlon,M,"8,825",Jürgen Hingsen,Filderstadt-Bernhausen,1983-06-05[3],,,,,,,,,
decathlon,M,"8,832",Jürgen Hingsen,Mannheim,1984-05-09,,,,,,,,,
decathlon,M,"8,847[n 3]",Daley Thompson,Los Angeles,1984-08-09,,,,,,,,,
decathlon,M,"8,891",Dan O'Brien,Talence,1992-09-05,,,,,,,,,
decathlon,M,"8,994",Tomáš Dvořák,Prague,1999-07-04,,,,,,,,,
decathlon,M,"9,026",Roman Šebrle,Götzis,2001-05-27,,,,,,,,,
decathlon,M,"9,039",Ashton Eaton,Eugene,2012-06-23,,,,,,,,,
decathlon,M,"9,045",Ashton Eaton,Beijing,2015-08-29,,,,,,,,,
decathlon,M,"9,126",Kevin Mayer,Talence,2018-09-16,,,,,,,,,
20km walk,M,1:38:43,Hermann Müller (GER),"Berlin, Germany",1911-10-04,,,,,,,,,
20km walk,M,1:37:57,Emile Anthoine (FRA),"Paris, France",1913-07-13,,,,,,,,,
20km walk,M,1:34:15,Václav Balšán (TCH),"Český Brod, Czechoslovakia",1933-08-13,,,,,,,,,
20km walk,M,1:33:25,Fritz Bleiweiss (GER),"Fürstenwalde, Germany",1936-06-07,,,,,,,,,
20km walk,M,1:32:12,John Mikaelsson (SWE),"Malmö, Sweden",1937-05-30,,,,,,,,,
20km walk,M,1:31:44,John Mikaelsson (SWE),"Stockholm, Sweden",1946-06-10,,,,,,,,,
20km walk,M,1:31:21,Josef Doležal (TCH),"Prague, Czechoslovakia",1955-06-05,,,,,,,,,
20km walk,M,1:30:36,Volodymyr Holubnychy (URS),"Kiev, Soviet Union",1955-09-23,,,,,,,,,
20km walk,M,1:30:00,Josef Doležal (TCH),"Prague, Czechoslovakia",1956-07-25,,,,,,,,,
20km walk,M,1:28:39,Valentin Guk (URS),"Kiev, Soviet Union",1957-04-13,,,,,,,,,
20km walk,M,1:27:29,Leonid Spirin (URS),"Moscow, Soviet Union",1959-07-07,,,,,,,,,
20km walk,M,1:27:04,Volodymyr Holubnychy (URS),"Moscow, Soviet Union",1959-07-15,,,,,,,,,
20km walk,M,1:25:58,Anatoly Vedyakov (URS),"Moscow, Soviet Union",1959-09-06,,,,,,,,,
20km walk,M,1:25:22,Gennadiy Agapov (URS),"Leningrad, Soviet Union",1968-07-21,,,,,,,,,
20km walk,M,1:25:19,Gennadiy Agapov (URS),"Berlin, Germany",1972-05-07,,,,,,,,,
20km walk,M,1:24:50,Paul Nihill (GBR),"Munich, Germany",1972-07-30,,,,,,,,,
20km walk,M,1:23:40,Daniel Bautista (MEX),"Bydgoszcz, Poland",1976-05-30,,,,,,,,,
20km walk,M,1:23:30,Anatoliy Solomin (URS),"Vilnius, Soviet Union",1978-07-19,,,,,,,,,
20km walk,M,1:23:12,Roland Wieser (GDR),"Prague, Czechoslovakia",1978-08-30,,,,,,,,,
20km walk,M,1:22:19,Vadim Tsvetkov (URS),"Klaipėda, Soviet Union",1979-05-13,,,,,,,,,
20km walk,M,1:22:16,Daniel Bautista (MEX),"Valencia, Spain",1979-05-19,,,,,,,,,
20km walk,M,1:21:04,Daniel Bautista (MEX),"Vretstorp, Sweden",1979-06-09,,,,,,,,,
20km walk,M,1:21:01,Reima Salonen (FIN),"Raisio, Finland",1979-06-09,,,,,,,,,
20km walk,M,1:21:00,Daniel Bautista (MEX),"Xalapa, Mexico",1980-03-30,,,,,,,,,
20km walk,M,1:19:35,Domingo Colin (MEX),"Cherkasy, Soviet Union",1980-04-27,,,,,,,,,
20km walk,M,1:19:30,Jozef Pribilinec (TCH),"Bergen, Norway",1983-09-24,,,,,,,,,
20km walk,M,1:19:24,Carlos Mercenario (MEX),"New York City, United States",1987-05-03,,,,,,,,,
20km walk,M,1:19:12,Axel Noack (GDR),"Karl-Marx-Stadt, GDR",1987-06-21,,,,,,,,,
20km walk,M,1:19:08,Mikhail Shchennikov (URS),"Kiev, Soviet Union",1988-07-30,,,,,,,,,
20km walk,M,1:18:20,Andrey Perlov (URS),"Moscow, Soviet Union",1990-05-26,,,,,,,,,
20km walk,M,1:18:13,Pavol Blažek (TCH),"Hildesheim, Germany",1990-09-16,,,,,,,,,
20km walk,M,1:18:04,Bu Lingtang (CHN),"Beijing, PR China",1994-04-07,,,,,,,,,
20km walk,M,1:17:46,Julio Martinez (GUA),"Eisenhüttenstadt, Germany",1999-05-08,,,,,,,,,
20km walk,M,1:17:22,Paquillo Fernández (ESP),"Turku, Finland",2002-04-28,,,,,,,,,
20km walk,M,1:17:21,Jefferson Pérez (ECU),"Paris, France",2003-08-23,,,,,,,,,
20km walk,M,1:17:16,Vladimir Kanaykin (RUS),"Saransk, Russia",2007-09-29,,,,,,,,,
20km walk,M,1:17:02,Yohann Diniz (FRA),"Arles, France",2015-03-08,,,,,,,,,
20km walk,M,1:16:36,Yusuke Suzuki (JPN),"Nomi, Japan",2015-03-15,,,,,,,,,
Men's 4 x 100 m relay,M,42.3,Otto Röhr; Max Herrmann; Erwin Kern; Richard Rau,"Stockholm, Sweden",1912-07-08,,,,,,,,,
Men's 4 x 100 m relay,M,42.2,Jackson Scholz; Loren Murchison; Morris Kirksey; Charley Paddock,"Antwerp, Belgium",1920-08-22,,,,,,,,,
Men's 4 x 100 m relay,M,42,Harold Abrahams; Walter Rangeley; Lancelot Royle; Wilfred Nichol,"Paris, France",1924-07-12,,,,,,,,,
Men's 4 x 100 m relay,M,42,Jaap Boot; Harry Broos; Jan de Vries; Rinus van den Berge,"Paris, France",1924-07-12,,,,,,,,,
Men's 4 x 100 m relay,M,41,Frank Hussey; Louis Clarke; Loren Murchison; Alfred LeConey,"Paris, France",1924-07-13,,,,,,,,,
